CATEGORY, TITLE, LOW, HIGH,URL
WINE,Bogle Cabernet Sauvignon,7.99,28.09,https://products3.imgix.drizly.com/ci-bogle-cabernet-sauvignon-2a6ee60c95880a48.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Barefoot Chardonnay,4.99,12.09,https://products2.imgix.drizly.com/ci-barefoot-chardonnay-50b65c6cd0191014.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,J. Lohr Cabernet Sauvignon Seven Oaks,11.97,29.99,https://products1.imgix.drizly.com/ci-j-lohr-seven-oaks-cabernet-sauvignon-1160f9b560b3f262.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bread & Butter Pinot Noir,10.99,26.99,https://products3.imgix.drizly.com/ci-bread-butter-pinot-noir-5d8f6a79ed3f0327.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Whitehaven Sauvignon Blanc,10.99,28.99,https://products2.imgix.drizly.com/ci-white-haven-sauvignon-blanc-7cb21dd0ca2d8d38.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Cupcake Sauvignon Blanc,6.97,44.99,https://products3.imgix.drizly.com/ci-cupcake-sauvignon-blanc-0d042a748564abd0.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Zaccagnini Montepulciano,11.98,29.99,https://products1.imgix.drizly.com/ci-zaccagnini-montepulciano-590be01d8dd5ddc3.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,La Crema Sonoma Coast Pinot Noir,15.99,42.99,https://products3.imgix.drizly.com/ci-la-crema-sonoma-coast-pinot-noir-b1a75d7f9d66381d.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Justin Cabernet Sauvignon,19.98,57.99,https://products1.imgix.drizly.com/ci-justin-vineyards-cabernet-sauvignon-ca17fe98a1eb157c.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Moet & Chandon Imperial Brut Champagne,9.99,95.99,https://products0.imgix.drizly.com/ci-moet-chandon-imperial-brut-champagne-d902e4f978d18721.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bota Box Pinot Noir,None,None,https://products1.imgix.drizly.com/ci-bota-box-pinot-noir-eafc714f6cfcbcb2.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Excelsior Cabernet Sauvignon,6.85,14.99,https://products0.imgix.drizly.com/ci-excelsior-cabernet-sauvignon-0f508d4988a77128.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Ruffino Prosecco,5.99,28.99,https://products2.imgix.drizly.com/ci-ruffino-prosecco-ebf3d874a33d3ccd.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Yellow Tail Cabernet Sauvignon,3.99,15.09,https://products1.imgix.drizly.com/ci-yellow-tail-cabernet-sauvignon-3174f11772c2d500.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Tilia Malbec,7.57,17.99,https://products2.imgix.drizly.com/ci-tilia-malbec-4cd24c310a82202c.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Josh Cellars Chardonnay,9.97,24.99,https://products2.imgix.drizly.com/ci-josh-cellars-chardonnay-6b89ecc55b7b8c57.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Josh Cellars Pinot Noir,12.48,37.99,https://products2.imgix.drizly.com/ci-josh-cellars-pinot-noir-253f38edec3ed484.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Franzia Chardonnay,None,None,https://products2.imgix.drizly.com/ci-franzia-chardonnay-afe78171969eedeb.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Barefoot Sauvignon Blanc,4.99,13.00,https://products3.imgix.drizly.com/ci-barefoot-sauvignon-blanc-48a57fe0d14ebc5b.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bota Box Rosé,4.99,20.99,https://products1.imgix.drizly.com/ci-bota-box-rose-c8fa6facdcaa8c9d.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Yellow Tail Chardonnay,3.99,15.09,https://products2.imgix.drizly.com/ci-yellow-tail-chardonnay-70f9f402f9099a02.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,A to Z Pinot Noir,9.99,29.99,https://products0.imgix.drizly.com/ci-a-to-z-pinot-noir-0fd75a64858c0b8e.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,KRIS Pinot Grigio,7.99,24.99,https://products0.imgix.drizly.com/ci-kris-pinot-grigio-f8b38f7b245138f7.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Yellow Tail Pinot Grigio,4.98,15.09,https://products2.imgix.drizly.com/ci-yellow-tail-pinot-grigio-8833721212a22fb0.png?auto=format%2Ccompress&fm=jpeg&q=20
